Genome,User Genome,Classification,FastANI Reference,FastANI Reference Radius,FastANI Taxonomy,FastANI ANI,FastANI Alignment Fraction,Closest Placement Reference,Closest Placement Taxonomy,Closest Placement ANI,Closest Placement Alignment Fraction,Classification Method,Note,Other Related References,MSA AA Percent,RED Value,Warnings,domain,phylum,class,order,family,genus,species,Bin Name,Marker Lineage,# Genomes,# Markers,# Marker Sets,0,1,2,3,4,5+,Completeness,Contamination,Translation table,GC std,# ambiguous bases,Genome size,Longest contig,N50 (scaffolds),Mean scaffold length,# contigs,# scaffolds,# predicted genes,Longest scaffold,GC,N50 (contigs),Coding density,Mean contig length,Genome size (Mbp),kruskal_season_p,kruskal_season_p_corr,kruskal_depth_p,kruskal_depth_p_corr,spearman_depth_p,spearman_depth_p_corr,spearman_depth_r,median_rel_abun,mean_rel_abun,max_rel_abun,class_plus
3300060478_1045,3300060478_1045__dereplicated_genomes,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__UBA10834;f__UBA10834;g__COMBO-56-21;s__,-,-,-,-,-,GCA_018814355.1,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__UBA10834;f__UBA10834;g__COMBO-56-21;s__COMBO-56-21 sp018814355,86.4,0.838,taxonomic classification defined by topology and ANI,-,"GCA_022865445.1, s__COMBO-56-21 sp0228...",60.41,0.96954,Genome not assigned to closest species as it falls outside its pre-defined ANI radius,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__UBA10834,f__UBA10834,g__COMBO-56-21,s__,3300060478_1045__dereplicated_genomes,p__Euryarchaeota,148,188,125,58,128,2,0,0,0,84.0,1.6,11,0.011313361780038429,0,1387598,53165,11784,9636.097222222223,144,144,1428,53165,0.5527869022584351,11784,0.9134864708654812,9636.097222222223,1.387598,0.877289405201713,0.9778121495477425,0.0028047614684499,0.01083089893548263,0.012764916124087412,0.024174265934112444,0.42070679773695857,0.0179265225,0.014299204113888887,0.028916044,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;
3300060607_687,3300060607_687__dereplicated_genomes,d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__,-,-,-,-,-,-,-,-,-,taxonomic classification defined by topology and ANI,-,"GCA_023228295.1, s__Methanoregula sp02...",82.6,0.95227,Genome not assigned to closest species as it falls outside its pre-defined ANI radius,d__Archaea,p__Halobacteriota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanoregulaceae,g__Methanoregula,s__,3300060607_687__dereplicated_genomes,p__Euryarchaeota,90,234,153,41,184,9,0,0,0,77.89,4.58,11,0.01941374867826899,0,1963630,53564,14034,11156.988636363636,176,176,2115,53564,0.5432505105340619,14034,0.893799239164201,11156.988636363636,1.96363,0.242350969747558,0.8264452680631145,0.11473098347045461,0.14358146469401922,0.07432163191767495,0.10130464477950597,0.3012913718918794,0.021424246,0.023039515777777776,0.056936897,d__Archaea;p__Halobacteriota;c__Methanomicrobia;
3300055390_1056,3300055390_1056__dereplicated_genomes,d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__RBG-16-66-30;g__RBG-16-66-30;s__,-,-,-,-,-,GCA_017883305.1,d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__RBG-16-66-30;g__RBG-16-66-30;s__RBG-16-66-30 sp017883305,82.8,0.61,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,"GCA_017999365.1, s__RBG-16-66-30 sp012...",63.26,0.95522,Genome not assigned to closest species as it falls outside its pre-defined ANI radius,d__Bacteria,p__Acidobacteriota,c__Aminicenantia,o__Aminicenantales,f__RBG-16-66-30,g__RBG-16-66-30,s__,3300055390_1056__dereplicated_genomes,k__Bacteria,2258,188,117,55,122,11,0,0,0,76.02,6.62,11,0.01433341592922517,0,2625767,64966,12088,9797.638059701492,268,268,2428,64966,0.6726678338176998,12088,0.9373878184926537,9797.638059701492,2.625767,0.46214128708766844,0.9446042109790558,0.02542755318275513,0.04515764631626222,0.009936109888611096,0.02005969354870542,0.43556252675673873,0.07876739699999999,0.08834229038888891,0.2275014,d__Bacteria;p__Acidobacteriota;c__Aminicenantia;
3300060607_1106,3300060607_1106__dereplicated_genomes,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Pseudolabrys;s__,-,-,-,-,-,GCA_009694265.1,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Pseudolabrys;s__Pseudolabrys sp009694265,84.28,0.796,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,"GCA_016185205.1, s__Pseudolabrys sp016...",95.11,0.97349,Genome not assigned to closest species as it falls outside its pre-defined ANI radius,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__Pseudolabrys,s__,3300060607_1106__dereplicated_genomes,o__Rhizobiales,107,485,316,25,452,8,0,0,0,95.0,2.22,11,0.015634894528815807,0,3710261,210238,62281,31985.008620689656,116,116,3691,210238,0.6205738625934941,62281,0.8878529030707004,31985.008620689656,3.710261,0.00335788809318437,0.15751258090014078,0.5664772725868132,0.5786450421650503,0.2891171029644257,0.3353444988313664,-0.18011984189188443,0.053329185,0.05799650377777779,0.13541715,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;
3300055390_1041,3300055390_1041__dereplicated_genomes,d__Bacteria;p__Fermentibacterota;c__Fermentibacteria;o__Fermentibacterales;f__Fermentibacteraceae;g__UBA5938;s__,-,-,-,-,-,GCA_002414865.1,d__Bacteria;p__Fermentibacterota;c__Fermentibacteria;o__Fermentibacterales;f__Fermentibacteraceae;g__UBA5938;s__UBA5938 sp002414865,77.85,0.307,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,-,87.71,0.85532,-,d__Bacteria,p__Fermentibacterota,c__Fermentibacteria,o__Fermentibacterales,f__Fermentibacteraceae,g__UBA5938,s__,3300055390_1041__dereplicated_genomes,k__Bacteria,2993,147,91,5,141,1,0,0,0,96.15,1.1,11,0.013059490352808286,0,2452056,217973,72316,30272.296296296296,81,81,2288,217973,0.6487633235130029,72316,0.9322213685168691,30272.296296296296,2.452056,0.6024740606078436,0.9605180220828018,0.013505967476450042,0.028902770399603088,0.01608529271371342,0.02856641195630433,0.40661201818605075,0.0188144285,0.021399701049999997,0.06101076,d__Bacteria;p__Fermentibacterota;c__Fermentibacteria;
3300055390_887,3300055390_887__dereplicated_genomes,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__RBG-16-60-22;g__Fen-1077;s__,-,-,-,-,-,GCA_003141235.1,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__RBG-16-60-22;g__Fen-1077;s__Fen-1077 sp003141235,79.32,0.394,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,-,69.77,0.95522,-,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__Dehalococcoidales,f__RBG-16-60-22,g__Fen-1077,s__,3300055390_887__dereplicated_genomes,k__Bacteria,924,151,101,27,123,1,0,0,0,87.1,0.2,11,0.02381499693175999,0,1926393,50927,20357,14484.157894736842,133,133,1895,50927,0.47623615741959197,20357,0.8722571147216586,14484.157894736842,1.926393,0.9986532618462298,0.9999058958679385,0.012721752815304228,0.028358907317449007,0.005472579219092836,0.012392930718368961,0.4693699215430188,0.0136663375,0.014713964277777778,0.06389839,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;
3300060478_252,3300060478_252__dereplicated_genomes,d__Bacteria;p__4484-113;c__4484-113;o__4484-113;f__4484-113;g__JAGGTK01;s__,-,-,-,-,-,-,-,-,-,taxonomic novelty determined using RED,classification based on placement in class-level tree,-,68.6,0.87355,-,d__Bacteria,p__4484-113,c__4484-113,o__4484-113,f__4484-113,g__JAGGTK01,s__,3300060478_252__dereplicated_genomes,k__Bacteria,901,171,117,35,135,1,0,0,0,77.05,0.85,11,0.022395301902994914,0,1797220,50957,12945,10328.850574712644,174,174,1697,50957,0.5783287521839285,12945,0.9372024571282314,10328.850574712644,1.79722,0.5251281094170983,0.9590811281469702,0.005526766590172436,0.016187732391575036,0.008240653355333073,0.01720487627357344,0.4463937715374165,0.0115768835,0.013231437088888888,0.03667723,d__Bacteria;p__4484-113;c__4484-113;
3300067053_212,3300067053_212__dereplicated_genomes,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__UBA4810;s__,-,-,-,-,-,GCA_002479215.1,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__UBA4810;s__UBA4810 sp002479215,88.66,0.704,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,"GCA_001797845.1, s__UBA4810 sp00179784...",86.16,0.95438,Genome not assigned to closest species as it falls outside its pre-defined ANI radius,d__Bacteria,p__Desulfobacterota,c__Syntrophia,o__Syntrophales,f__Smithellaceae,g__UBA4810,s__,3300067053_212__dereplicated_genomes,c__Deltaproteobacteria,83,247,155,21,224,2,0,0,0,89.03,1.29,11,0.027177627944608988,0,2205276,49830,15956,11856.322580645161,186,186,2193,49830,0.43858682541323624,15956,0.8903257460744143,11856.322580645161,2.205276,0.39738948343663605,0.9144231124240872,0.015741807761720867,0.03169588651264053,0.02329481730939511,0.03834685310931195,0.3831886863073335,0.0123072345,0.013643052030555554,0.04742048,d__Bacteria;p__Desulfobacterota;c__Syntrophia;
3300067053_1068,3300067053_1068__dereplicated_genomes,d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__;s__,-,-,-,-,-,-,-,-,-,taxonomic classification fully defined by topology,classification based on placement in class-level tree,-,60.58,0.75312,Genome has more than 10.0% of markers with multiple hits,d__Bacteria,p__Desulfobacterota,c__Syntrophobacteria,o__Syntrophobacterales,f__Syntrophobacteraceae,g__,s__,3300067053_1068__dereplicated_genomes,c__Deltaproteobacteria,83,247,155,50,180,17,0,0,0,75.59,7.55,11,0.019556719023145982,0,3950603,75675,8711,8046.034623217923,491,491,3879,75675,0.5525579259672511,8711,0.8479505533712195,8046.034623217923,3.950603,0.38336595766059317,0.9015419224106257,0.19713354749082218,0.22620149685273966,0.16482118048561978,0.20447381231259498,-0.23579324756755776,0.0144431835,0.0140178173,0.025224658,d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;
3300060478_825,3300060478_825__dereplicated_genomes,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Acidiferrobacterales;f__UBA6901;g__UBA6901;s__,-,-,-,-,-,GCA_002451085.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Acidiferrobacterales;f__UBA6901;g__UBA6901;s__UBA6901 sp002451085,78.02,0.352,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,-,88.48,0.88401,-,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Acidiferrobacterales,f__UBA6901,g__UBA6901,s__,3300060478_825__dereplicated_genomes,p__Proteobacteria,1495,261,164,33,223,5,0,0,0,94.87,1.83,11,0.014692474996190525,0,3493737,165114,67310,37167.414893617024,94,94,3342,165114,0.6058999289299681,67310,0.8711354060136753,37167.414893617024,3.493737,0.8914652456503237,0.9791981895430706,0.0016145828083549425,0.00973297805599881,0.000349196492164796,0.0022990828067309802,-0.6058576499999748,0.0191393395,0.03421596957222222,0.09001919,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;
3300060607_244,3300060607_244__dereplicated_genomes,d__Archaea;p__Thermoplasmatota;c__Themoplasmata_A;o__DTKX01;f__VGTL01;g__VGTL01;s__,-,-,-,-,-,GCA_016874675.1,d__Archaea;p__Thermoplasmatota;c__Themoplasmata_A;o__DTKX01;f__VGTL01;g__VGTL01;s__VGTL01 sp016874675,77.91,0.304,taxonomic classification defined by topology and ANI,-,-,76.74,0.8246,-,d__Archaea,p__Thermoplasmatota,c__Themoplasmata_A,o__DTKX01,f__VGTL01,g__VGTL01,s__,3300060607_244__dereplicated_genomes,p__Euryarchaeota,148,188,125,36,151,0,1,0,0,79.37,0.8,11,0.021817839727619186,8,2353465,49987,16701,12007.474489795919,196,196,1827,49987,0.6088953399191063,16701,0.9114382410615837,12007.433673469388,2.353465,0.5055573209787125,0.9528154520223513,0.1669667627818522,0.19632355623800204,0.5848845684942856,0.6227129236705329,0.09172098609874546,0.019251034,0.018053868211111115,0.039210632,d__Archaea;p__Thermoplasmatota;c__Themoplasmata_A;
3300055390_235,3300055390_235__dereplicated_genomes,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA10428;g__UBA5072;s__,-,-,-,-,-,-,-,-,-,taxonomic classification fully defined by topology,classification based on placement in class-level tree,-,70.82,0.92029,-,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA10428,g__UBA5072,s__,3300055390_235__dereplicated_genomes,p__Bacteroidetes,350,316,210,78,235,3,0,0,0,75.01,1.43,11,0.022106852036323496,0,3468536,33680,7813,7136.905349794239,486,486,3157,33680,0.4344210352725184,7813,0.917310646336091,7136.905349794239,3.468536,0.6703109141828263,0.9605180220828018,0.0014187349414857184,0.009601841618471552,0.0003213625808906462,0.0022990828067309802,-0.6095249121707011,0.0203763645,0.025846918486111106,0.078747645,d__Bacteria;p__Bacteroidota;c__Bacteroidia;
3300055390_762,3300055390_762__dereplicated_genomes,d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__UBA5794;f__UBA11373;g__;s__,-,-,-,-,-,-,-,-,-,taxonomic novelty determined using RED,classification based on placement in class-level tree,-,71.56,0.8885,-,d__Bacteria,p__Actinomycetota,c__Acidimicrobiia,o__UBA5794,f__UBA11373,g__,s__,3300055390_762__dereplicated_genomes,k__Bacteria,901,171,117,43,126,2,0,0,0,81.13,1.71,11,0.017007217701595096,0,1819725,43037,8803,7645.903361344538,238,238,1921,43037,0.7222371512179038,8803,0.9242577862039594,7645.903361344538,1.819725,0.3160542797868861,0.8796927370759939,0.020668817217055456,0.038461972908259714,0.015383104750126756,0.027663734592664923,0.40936327702701,0.0197139715,0.021594597000000007,0.07374691,d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;
3300060478_917,3300060478_917__dereplicated_genomes,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-39;g__SG8-39;s__,-,-,-,-,-,-,-,-,-,taxonomic novelty determined using RED,classification based on placement in class-level tree,-,73.31,0.90371,-,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__SG8-39,g__SG8-39,s__,3300060478_917__dereplicated_genomes,c__Betaproteobacteria,223,425,211,82,336,7,0,0,0,76.57,1.63,11,0.01824140947118473,0,2346901,32516,8598,7474.207006369426,314,314,2486,32516,0.6729623448113065,8598,0.9303153392495039,7474.207006369426,2.346901,0.057237822120289474,0.4223756528876534,0.44051101871057874,0.4584569786538613,0.20304348419026852,0.24688241827680377,-0.21614381027026128,0.06325535,0.06132024241666667,0.108175844,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;
3300060607_129,3300060607_129__dereplicated_genomes,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5629;g__;s__,-,-,-,-,-,-,-,-,-,taxonomic classification fully defined by topology,classification based on placement in class-level tree,-,68.0,0.89526,-,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__GIF9,f__UBA5629,g__,s__,3300060607_129__dereplicated_genomes,k__Bacteria,924,151,101,37,113,1,0,0,0,81.85,0.99,11,0.03700236419399478,0,2069793,79250,25811,13985.087837837838,148,148,2067,79250,0.5292901270803408,25811,0.9214530148667041,13985.087837837838,2.069793,0.3787073660872972,0.9004819593631289,0.04494509332264278,0.06720250623967061,0.13007589234254247,0.16718463039822276,0.255459124204889,0.0131113095,0.017034855930555554,0.04871946,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;
