Genome,User Genome,Classification,FastANI Reference,FastANI Reference Radius,FastANI Taxonomy,FastANI ANI,FastANI Alignment Fraction,Closest Placement Reference,Closest Placement Taxonomy,Closest Placement ANI,Closest Placement Alignment Fraction,Classification Method,Note,Other Related References,MSA AA Percent,RED Value,Warnings,domain,phylum,class,order,family,genus,species,Bin Name,Marker Lineage,# Genomes,# Markers,# Marker Sets,0,1,2,3,4,5+,Completeness,Contamination,Translation table,GC std,# ambiguous bases,Genome size,Longest contig,N50 (scaffolds),Mean scaffold length,# contigs,# scaffolds,# predicted genes,Longest scaffold,GC,N50 (contigs),Coding density,Mean contig length,Genome size (Mbp),kruskal_season_p,kruskal_season_p_corr,kruskal_depth_p,kruskal_depth_p_corr,spearman_depth_p,spearman_depth_p_corr,spearman_depth_r,median_rel_abun,mean_rel_abun,max_rel_abun
3300067053_1674,3300067053_1674__dereplicated_genomes,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Fen-7;s__,-,-,-,-,-,GCA_003162615.1,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Fen-7;s__Fen-7 sp003162615,78.56,0.353,taxonomic classification defined by topology and ANI,-,-,80.19,0.91153,-,d__Archaea,p__Halobacteriota,c__Methanosarcinia,o__Methanotrichales,f__Methanotrichaceae,g__Fen-7,s__,3300067053_1674__dereplicated_genomes,p__Euryarchaeota,95,228,153,35,190,3,0,0,0,82.79,1.63,11,0.023008339227136212,0,1877596,26214,9374,8093.086206896552,232,232,2244,26214,0.4885252205479773,9374,0.802092143357783,8093.086206896552,1.877596,0.8905417234233877,0.9791981895430706,0.0021540825210138435,0.009884104782573393,0.0005239190494405216,0.002396585000647975,0.5862082127026784,0.027762539000000003,0.03547629448888889,0.10900432
3300067053_1163,3300067053_1163__dereplicated_genomes,d__Bacteria;p__Omnitrophota;c__Koll11;o__Velamenicoccales;f__Velamenicoccaceae;g__;s__,-,-,-,-,-,-,-,-,-,taxonomic novelty determined using RED,classification based on placement in class-level tree,-,81.11,0.81033,-,d__Bacteria,p__Omnitrophota,c__Koll11,o__Velamenicoccales,f__Velamenicoccaceae,g__,s__,3300067053_1163__dereplicated_genomes,k__Bacteria,2921,152,93,15,136,1,0,0,0,87.39,1.08,11,0.013756802703160743,0,2079053,387251,120953,83162.12,25,25,1864,387251,0.508106334951538,120953,0.9258979929804579,83162.12,2.079053,0.21030413254798003,0.769317681457568,0.04978895771262104,0.07199214155743854,0.03968611561537882,0.059598798187305735,0.3473854677403115,0.019568593500000002,0.026797709605555557,0.106510766
3300055390_1062,3300055390_1062__dereplicated_genomes,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__,-,-,-,-,-,GCA_003520925.1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__LD21 sp003520925,77.48,0.253,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,-,86.95,0.96097,-,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__VadinHA17,g__LD21,s__,3300055390_1062__dereplicated_genomes,p__Bacteroidetes,350,316,210,26,285,5,0,0,0,90.24,2.14,11,0.012685833402396107,0,3582213,81104,24882,16432.169724770643,218,218,3050,81104,0.41278142868668055,24882,0.9115730974121304,16432.169724770643,3.582213,0.9999058958679385,0.9999058958679385,0.0581599984304029,0.08041599377825226,0.01895431181073367,0.032116917274370285,0.3963656899267215,0.00509456735,0.013587690755555555,0.1251674
3300055390_1318,3300055390_1318__dereplicated_genomes,d__Bacteria;p__Eisenbacteria;c__RBG-16-71-46;o__RBG-16-71-46;f__RBG-16-71-46;g__WS-2;s__,-,-,-,-,-,GCA_005893185.1,d__Bacteria;p__Eisenbacteria;c__RBG-16-71-46;o__RBG-16-71-46;f__RBG-16-71-46;g__WS-2;s__WS-2 sp005893185,78.59,0.332,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,-,67.71,0.87615,-,d__Bacteria,p__Eisenbacteria,c__RBG-16-71-46,o__RBG-16-71-46,f__RBG-16-71-46,g__WS-2,s__,3300055390_1318__dereplicated_genomes,k__Bacteria,2993,147,91,37,106,4,0,0,0,78.02,1.29,11,0.017887566569871755,0,2151895,34748,7289,6682.903726708075,322,322,2029,34748,0.7203218558526322,7289,0.922597524507469,6682.903726708075,2.151895,0.12460309182462755,0.6918343363513589,0.49413083190041984,0.5108405701772456,0.35073900420549753,0.40031011679987455,0.15719549837837185,0.0124269255,0.014895644277777774,0.047338497
3300060478_1146,3300060478_1146__dereplicated_genomes,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Diplorickettsiales;f__Diplorickettsiaceae;g__Aquirickettsiella;s__Aquirickettsiella isopodorum,GCF_001881495.1,95,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Diplorickettsiales;f__Diplorickettsiaceae;g__Aquirickettsiella;s__Aquirickettsiella isopodorum,98.44,0.93,GCF_001881495.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Diplorickettsiales;f__Diplorickettsiaceae;g__Aquirickettsiella;s__Aquirickettsiella isopodorum,98.44,0.93,ani_screen,classification based on ANI only,"GCA_005877695.1, s__Aquirickettsiella ...",91.76,-,-,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Diplorickettsiales,f__Diplorickettsiaceae,g__Aquirickettsiella,s__Aquirickettsiella isopodorum,3300060478_1146__dereplicated_genomes,c__Gammaproteobacteria,1097,270,172,30,236,4,0,0,0,85.48,0.79,11,0.01978162392531997,0,1385784,59927,22781,14900.90322580645,93,93,1311,59927,0.3687537163078806,22781,0.9044880010160313,14900.90322580645,1.385784,0.08443234143141112,0.5646412833225619,0.7365467291494976,0.7452529552623758,0.5841878235519786,0.6227129236705329,-0.09334083384409404,0.011179496,0.013625961213888892,0.055770855
3300060607_386,3300060607_386__dereplicated_genomes,d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Gaiella;s__,-,-,-,-,-,GCA_009694305.1,d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Gaiella;s__Gaiella sp009694305,79.75,0.432,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,"GCF_003351045.1, s__Gaiella occulta, 9...",62.14,0.95559,Genome not assigned to closest species as it falls outside its pre-defined ANI radius,d__Bacteria,p__Actinomycetota,c__Thermoleophilia,o__Gaiellales,f__Gaiellaceae,g__Gaiella,s__,3300060607_386__dereplicated_genomes,p__Actinobacteria,732,199,116,48,148,3,0,0,0,75.6,1.72,11,0.016723963722947387,0,2195431,19954,6417,6031.403846153846,364,364,2509,19954,0.711545477858334,6417,0.9361965828122132,6031.403846153846,2.195431,0.9646094219661765,0.9876862023959893,0.0010477491199406468,0.009601841618471552,0.00022260136095824857,0.002217164087207212,-0.6255070872972713,0.043571339,0.05788146016666667,0.13314405
3300060607_296,3300060607_296__dereplicated_genomes,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__CADEEN01;s__,-,-,-,-,-,-,-,-,-,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,"GCA_022841885.1, s__CADEEN01 sp0228418...",87.57,0.96408,Genome not assigned to closest species as it falls outside its pre-defined ANI radius,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae_B,g__CADEEN01,s__,3300060607_296__dereplicated_genomes,o__Burkholderiales,193,427,214,21,396,10,0,0,0,94.6,2.23,11,0.031533780869676856,2,3908238,78600,13492,10562.805405405405,370,370,3995,78600,0.6749044837619836,13492,0.9205173789313752,10562.8,3.908238,0.15569425420670746,0.732276272532646,0.003956947903654436,0.013441061133048401,0.0012490221942305956,0.003930746317137463,-0.5469093381080854,0.081629655,0.08178059319444443,0.16071783
3300060478_1009,3300060478_1009__dereplicated_genomes,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__RBG-16-60-22;g__RBG-13-51-18;s__,-,-,-,-,-,-,-,-,-,taxonomic novelty determined using RED,classification based on placement in class-level tree,-,82.62,0.92152,-,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__Dehalococcoidales,f__RBG-16-60-22,g__RBG-13-51-18,s__,3300060478_1009__dereplicated_genomes,k__Bacteria,924,151,101,10,138,3,0,0,0,90.76,1.1,11,0.013811978888313531,0,1958729,224505,122450,59355.42424242424,33,33,1919,224505,0.5194148858775257,122450,0.8993510587733168,59355.42424242424,1.958729,0.4345585159930926,0.929582727653642,0.0008169627614688294,0.009601841618471552,0.00016523553677573035,0.002217164087207212,0.63676758586955,0.011757327,0.038087058052777775,0.46178705
3300055390_860,3300055390_860__dereplicated_genomes,d__Bacteria;p__Eisenbacteria;c__RBG-16-71-46;o__CAIMUX01;f__WJJG01;g__JAGMBO01;s__,-,-,-,-,-,GCA_023129715.1,d__Bacteria;p__Eisenbacteria;c__RBG-16-71-46;o__CAIMUX01;f__WJJG01;g__JAGMBO01;s__JAGMBO01 sp023129715,77.26,0.204,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,-,91.44,0.8732,-,d__Bacteria,p__Eisenbacteria,c__RBG-16-71-46,o__CAIMUX01,f__WJJG01,g__JAGMBO01,s__,3300055390_860__dereplicated_genomes,k__Bacteria,2993,147,91,6,137,4,0,0,0,95.6,3.36,11,0.017488837809437777,0,4467230,212118,65628,32847.279411764706,136,136,3391,212118,0.6788602780694076,65628,0.8888114110981525,32847.279411764706,4.46723,0.7657882593210759,0.9605180220828018,0.013116307912294638,0.028783184667947017,0.004042942120262928,0.00972123161501423,0.48578145726130617,0.010654228,0.013285801455555553,0.042448793
3300060478_1124,3300060478_1124__dereplicated_genomes,d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__UBA8522;g__UBA8522;s__,-,-,-,-,-,-,-,-,-,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,"GCA_017886205.1, s__UBA8522 sp01788620...",78.71,0.93588,Genome not assigned to closest species as it falls outside its pre-defined ANI radius,d__Bacteria,p__Acidobacteriota,c__Aminicenantia,o__Aminicenantales,f__UBA8522,g__UBA8522,s__,3300060478_1124__dereplicated_genomes,k__Bacteria,2258,188,117,25,155,8,0,0,0,81.74,4.49,11,0.02332376606353842,0,3636020,79681,14573,10662.815249266861,341,341,3235,79681,0.593704930115896,14573,0.9254195521476779,10662.815249266861,3.63602,0.7134757334908242,0.9605180220828018,0.00046867172303589183,0.009601841618471552,9.304468507826617e-05,0.002217164087207212,0.6606411433213178,0.012039869,0.018238808819444445,0.13588075
3300060478_479,3300060478_479__dereplicated_genomes,d__Bacteria;p__Acidobacteriota;c__UBA6911;o__UBA6911;f__UBA6911;g__JAAYAM01;s__,-,-,-,-,-,GCA_016929335.1,d__Bacteria;p__Acidobacteriota;c__UBA6911;o__UBA6911;f__UBA6911;g__JAAYAM01;s__JAAYAM01 sp016929335,80.66,0.561,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,-,61.93,0.95223,Genome not assigned to closest species as it falls outside its pre-defined ANI radius,d__Bacteria,p__Acidobacteriota,c__UBA6911,o__UBA6911,f__UBA6911,g__JAAYAM01,s__,3300060478_479__dereplicated_genomes,k__Bacteria,2258,188,117,52,123,13,0,0,0,81.81,8.21,11,0.017656289820385637,0,4575652,39933,7701,7116.099533437014,643,643,4259,39933,0.5256072795745831,7701,0.8810412155469866,7116.099533437014,4.575652,0.2951668460520623,0.8796927370759939,0.25714681101342024,0.2848170871995658,0.22116688211297497,0.26589726276503733,0.20631909162161308,0.019075626499999998,0.020106815625000007,0.03388137
3300055390_1138,3300055390_1138__dereplicated_genomes,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__JACIWG01;f__JACIWG01;g__;s__,-,-,-,-,-,-,-,-,-,taxonomic novelty determined using RED,-,-,69.87,0.80716,-,d__Archaea,p__Thermoproteota,c__Nitrososphaeria,o__JACIWG01,f__JACIWG01,g__,s__,3300055390_1138__dereplicated_genomes,k__Archaea,207,145,103,23,120,2,0,0,0,83.27,1.46,11,0.014230826421306145,0,666914,26230,9088,7493.4157303370785,89,89,775,26230,0.3889017174628213,9088,0.8894445160845327,7493.4157303370785,0.666914,0.7969644241835018,0.9605180220828018,0.0011025487665156525,0.009601841618471552,0.0002239808320901675,0.002217164087207212,0.6237929520753048,0.0062999018,0.006757825377777778,0.021944314
3300060478_736,3300060478_736__dereplicated_genomes,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA4823;g__;s__,-,-,-,-,-,-,-,-,-,taxonomic novelty determined using RED,classification based on placement in class-level tree,-,68.0,0.88667,-,d__Bacteria,p__Chloroflexota,c__Anaerolineae,o__Anaerolineales,f__UBA4823,g__,s__,3300060478_736__dereplicated_genomes,k__Bacteria,924,163,110,39,116,8,0,0,0,75.47,6.67,11,0.047747343840181006,0,3772519,36246,7628,6859.125454545455,550,550,3670,36246,0.5650296260933344,7628,0.9123914286448922,6859.125454545455,3.772519,0.19932403137282137,0.769317681457568,0.01813775213135887,0.034968278883881064,0.006075996291979714,0.013474230119001646,-0.4650366827026834,0.027871511,0.02773652707222222,0.041034356
3300067053_1092,3300067053_1092__dereplicated_genomes,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__UBA12454;g__JAFGGI01;s__,-,-,-,-,-,GCA_016930635.1,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__UBA12454;g__JAFGGI01;s__JAFGGI01 sp016930635,78.87,0.487,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,-,83.32,0.91641,-,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Sedimentisphaerales,f__UBA12454,g__JAFGGI01,s__,3300067053_1092__dereplicated_genomes,k__Bacteria,2921,143,88,3,138,2,0,0,0,96.59,2.27,11,0.013559060005296598,0,2165322,70037,30929,21871.939393939392,99,99,1976,70037,0.4422067480032993,30929,0.9032019256258422,21871.939393939392,2.165322,0.9464619084741995,0.9795999457612491,0.0009346843688159713,0.009601841618471552,0.0002820949396850416,0.002235863596022182,0.6137914358639477,0.0098736645,0.010980859425,0.046146736
3300060478_621,3300060478_621__dereplicated_genomes,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__UBA2162;g__;s__,-,-,-,-,-,-,-,-,-,taxonomic classification fully defined by topology,classification based on placement in class-level tree,-,58.73,0.83475,-,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__Dehalococcoidales,f__UBA2162,g__,s__,3300060478_621__dereplicated_genomes,k__Bacteria,924,151,101,51,99,1,0,0,0,77.01,0.33,11,0.018603463674304377,0,1640344,45987,13013,11391.277777777777,144,144,1740,45987,0.4880714045346586,13013,0.8967015455294743,11391.277777777777,1.640344,0.23983806364368473,0.8264452680631145,0.0010841797514629262,0.009601841618471552,0.0002198789362384047,0.002217164087207212,0.6245881645339897,0.0046705172,0.011996808541666668,0.14252532
3300067053_901,3300067053_901__dereplicated_genomes,d__Bacteria;p__Calditrichota;c__Calditrichia;o__RBG-13-44-9;f__RBG-13-44-9;g__RQOF01;s__RQOF01 sp001771055,GCA_001771055.1,95,d__Bacteria;p__Calditrichota;c__Calditrichia;o__RBG-13-44-9;f__RBG-13-44-9;g__RQOF01;s__RQOF01 sp001771055,95.04,0.697,GCA_001771055.1,d__Bacteria;p__Calditrichota;c__Calditrichia;o__RBG-13-44-9;f__RBG-13-44-9;g__RQOF01;s__RQOF01 sp001771055,95.04,0.697,ani_screen,classification based on ANI only,-,78.43,-,-,d__Bacteria,p__Calditrichota,c__Calditrichia,o__RBG-13-44-9,f__RBG-13-44-9,g__RQOF01,s__RQOF01 sp001771055,3300067053_901__dereplicated_genomes,k__Bacteria,2993,147,91,23,123,1,0,0,0,77.96,0.06,11,0.024462044352571176,0,3344478,30127,8438,7176.9914163090125,466,466,2952,30127,0.43251951425603635,8438,0.883776182710725,7176.9914163090125,3.344478,0.3369175708980356,0.8796927370759939,0.03251876899691595,0.05323595523632509,0.06818232469201928,0.09546525268736623,0.30792045333150264,0.0089213435,0.00860824711111111,0.020504292
3300060607_454,3300060607_454__dereplicated_genomes,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__,-,-,-,-,-,-,-,-,-,taxonomic classification fully defined by topology,classification based on placement in class-level tree,-,79.76,0.93984,-,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__VadinHA17,g__LD21,s__,3300060607_454__dereplicated_genomes,p__Bacteroidetes,350,316,210,57,256,3,0,0,0,79.48,1.19,11,0.012339997455108534,0,2434700,64154,18403,11993.5960591133,203,203,2121,64154,0.41697909393354415,18403,0.9251957119973714,11993.5960591133,2.4347,0.9275830135663401,0.9791981895430706,0.0116929316108476,0.02647923137271308,0.0036466914404341927,0.00907974613939592,0.49126754654786337,0.012285734999999999,0.017805420411111113,0.07552042
3300067053_944,3300067053_944__dereplicated_genomes,d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__Krumholzibacteriales;f__Krumholzibacteriaceae;g__SSS58A;s__,-,-,-,-,-,GCA_017885175.1,d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__Krumholzibacteriales;f__Krumholzibacteriaceae;g__SSS58A;s__SSS58A sp017885175,83.04,0.647,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,"GCA_002403075.1, s__SSS58A sp002403075...",72.57,0.93968,Genome not assigned to closest species as it falls outside its pre-defined ANI radius,d__Bacteria,p__Krumholzibacteriota,c__Krumholzibacteria,o__Krumholzibacteriales,f__Krumholzibacteriaceae,g__SSS58A,s__,3300067053_944__dereplicated_genomes,k__Bacteria,2993,147,91,36,109,2,0,0,0,84.66,2.2,11,0.029620268025298095,0,2522234,29152,8896,7808.773993808049,323,323,2360,29152,0.6452406874223406,8896,0.9299981682904916,7808.773993808049,2.522234,0.09305866782090985,0.5944643257813346,0.1446868997678138,0.1724958025087028,0.053497458865651604,0.07735443376519895,-0.327490621621608,0.0124825245,0.012544381719444442,0.030056056
3300060478_833,3300060478_833__dereplicated_genomes,d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__UBA233;g__PALSA-986;s__,-,-,-,-,-,GCA_903901015.1,d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__UBA233;g__PALSA-986;s__PALSA-986 sp903901015,78.86,0.422,taxonomic classification defined by topology and ANI,-,"GCA_023488835.1, s__PALSA-986 sp023488...",79.99,0.97628,Genome not assigned to closest species as it falls outside its pre-defined ANI radius,d__Archaea,p__Thermoproteota,c__Bathyarchaeia,o__B26-1,f__UBA233,g__PALSA-986,s__,3300060478_833__dereplicated_genomes,k__Archaea,207,149,107,20,125,4,0,0,0,87.56,3.27,11,0.018355263484019915,0,1363388,38198,10659,9029.059602649008,151,151,1599,38198,0.43114946002165194,10659,0.8653340061669899,9029.059602649008,1.363388,0.15975219936000165,0.7431950144139208,0.4993517885992771,0.5149941337843147,0.9195210935487688,0.9325948531726849,0.0163745310810804,0.029822079,0.030817234113888883,0.09199992
3300055390_794,3300055390_794__dereplicated_genomes,d__Archaea;p__Thermoplasmatota;c__Themoplasmata_A;o__DTKX01;f__GCA-020343715;g__;s__,-,-,-,-,-,GCA_020343715.1,d__Archaea;p__Thermoplasmatota;c__Themoplasmata_A;o__DTKX01;f__GCA-020343715;g__GCA-020343715;s__GCA-020343715 sp020343715,76.28,0.206,taxonomic classification defined by topology and ANI,-,-,97.89,0.70397,-,d__Archaea,p__Thermoplasmatota,c__Themoplasmata_A,o__DTKX01,f__GCA-020343715,g__,s__,3300055390_794__dereplicated_genomes,p__Euryarchaeota,148,188,125,5,182,1,0,0,0,96.67,0.4,11,0.017103104409655515,0,3081474,207961,54083,29347.371428571427,105,105,2294,207961,0.6741562641774683,54083,0.9158863582817833,29347.371428571427,3.081474,0.5629604201850751,0.9605180220828018,0.04794701163214353,0.07046110954980306,0.02653049443576086,0.04317510121104809,0.37469199173447876,0.00683508485,0.009474695736111111,0.05850404
3300067053_1148,3300067053_1148__dereplicated_genomes,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Rectinemataceae;g__;s__,-,-,-,-,-,-,-,-,-,taxonomic classification fully defined by topology,classification based on placement in class-level tree,-,85.26,0.8489,-,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Treponematales,f__Rectinemataceae,g__,s__,3300067053_1148__dereplicated_genomes,k__Bacteria,2993,141,87,7,133,1,0,0,0,91.95,0.57,11,0.017818276625259415,0,3878502,219049,86911,49724.38461538462,78,78,3243,219049,0.6489889653273352,86911,0.9095656003271366,49724.38461538462,3.878502,0.02980061610766453,0.33564904458106365,0.14303083863500549,0.17099776239045347,0.4360725436799877,0.4851033622870729,0.13108062627326905,0.007273091299999999,0.009659588413888889,0.041837778
3300060478_487,3300060478_487__dereplicated_genomes,d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__Syntrophobacterales;f__;g__;s__,-,-,-,-,-,-,-,-,-,taxonomic novelty determined using RED,classification based on placement in class-level tree,-,77.32,0.698,-,d__Bacteria,p__Desulfobacterota,c__Syntrophobacteria,o__Syntrophobacterales,f__,g__,s__,3300060478_487__dereplicated_genomes,c__Deltaproteobacteria,83,247,155,45,201,1,0,0,0,77.51,0.16,11,0.02066956793198823,0,3816452,55907,8519,7663.558232931727,498,498,3668,55907,0.557722984594068,8519,0.8422828323269885,7663.558232931727,3.816452,0.6747824477032254,0.9605180220828018,0.05480883343748228,0.0771650681290869,0.113523089532908,0.14679118525705326,-0.2685423097297186,0.032309087,0.03441380120555555,0.0847285
3300060478_64,3300060478_64__dereplicated_genomes,d__Bacteria;p__Armatimonadota;c__CAIYQO01;o__WVXJ01;f__;g__;s__,-,-,-,-,-,-,-,-,-,taxonomic novelty determined using RED,classification based on placement in class-level tree,-,73.37,0.74302,-,d__Bacteria,p__Armatimonadota,c__CAIYQO01,o__WVXJ01,f__,g__,s__,3300060478_64__dereplicated_genomes,k__Bacteria,924,161,108,31,128,2,0,0,0,78.52,1.85,11,0.024427675983929188,0,3548907,38275,7951,7257.478527607362,489,489,3410,38275,0.6571217560787025,7951,0.912399226015221,7257.478527607362,3.548907,0.969662821532071,0.9904909012308506,0.0023093702763021945,0.009884104782573393,0.001086434019215098,0.0036171703336238484,0.5521776720297582,0.0051981295,0.0066533246499999995,0.047304656
3300055390_1105,3300055390_1105__dereplicated_genomes,d__Bacteria;p__Desulfobacterota;c__DSM-4660;o__Desulfatiglandales;f__HGW-15;g__JAFGIC01;s__,-,-,-,-,-,GCA_016929815.1,d__Bacteria;p__Desulfobacterota;c__DSM-4660;o__Desulfatiglandales;f__HGW-15;g__JAFGIC01;s__JAFGIC01 sp016929815,78.07,0.284,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,-,81.93,0.9368,-,d__Bacteria,p__Desulfobacterota,c__DSM-4660,o__Desulfatiglandales,f__HGW-15,g__JAFGIC01,s__,3300055390_1105__dereplicated_genomes,c__Deltaproteobacteria,83,247,155,42,200,5,0,0,0,79.5,1.97,11,0.02643175737642724,0,2544053,46976,9397,8076.35873015873,315,315,2427,46976,0.4582683615474992,9397,0.8668608712161264,8076.35873015873,2.544053,0.0028739814046591624,0.15751258090014078,0.05322733583141182,0.07543476733723264,0.015749293561330552,0.028203755833679817,-0.40936327702701,0.028401453,0.028519591047222223,0.07218195
3300067053_1663,3300067053_1663__dereplicated_genomes,d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__Krumholzibacteriales;f__Krumholzibacteriaceae;g__SSS58A;s__,-,-,-,-,-,GCA_017885175.1,d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__Krumholzibacteriales;f__Krumholzibacteriaceae;g__SSS58A;s__SSS58A sp017885175,79.55,0.522,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,"GCA_002403295.1, s__SSS58A sp002403295...",73.33,0.91844,Genome not assigned to closest species as it falls outside its pre-defined ANI radius,d__Bacteria,p__Krumholzibacteriota,c__Krumholzibacteria,o__Krumholzibacteriales,f__Krumholzibacteriaceae,g__SSS58A,s__,3300067053_1663__dereplicated_genomes,k__Bacteria,2993,147,91,23,122,2,0,0,0,85.16,1.16,11,0.016365479241189574,0,2432416,60977,13426,10220.235294117647,238,238,2166,60977,0.6201089780695407,13426,0.9369787075894913,10220.235294117647,2.432416,0.7196881910437545,0.9605180220828018,0.007646618887192558,0.019430803954865097,0.0022933724939163606,0.006251996352842053,0.5153222215542235,0.0139059565,0.023357268000000007,0.095322765
3300055390_1133,3300055390_1133__dereplicated_genomes,d__Bacteria;p__Acidobacteriota;c__Polarisedimenticolia;o__Polarisedimenticolales;f__Polarisedimenticolaceae;g__;s__,-,-,-,-,-,GCA_020073205.1,d__Bacteria;p__Acidobacteriota;c__Polarisedimenticolia;o__Polarisedimenticolales;f__Polarisedimenticolaceae;g__JAIQFR01;s__JAIQFR01 sp020073205,76.69,0.15,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,-,81.51,0.764,-,d__Bacteria,p__Acidobacteriota,c__Polarisedimenticolia,o__Polarisedimenticolales,f__Polarisedimenticolaceae,g__,s__,3300055390_1133__dereplicated_genomes,k__Bacteria,2258,188,117,27,156,5,0,0,0,79.7,4.27,11,0.018453279785040105,0,3730218,44048,12162,9589.249357326478,389,389,3468,44048,0.6884739712263466,12162,0.9440413402112156,9589.249357326478,3.730218,0.8679954500863368,0.9740141114890813,0.0011880411806474151,0.009601841618471552,0.0002580657174102035,0.002217164087207212,-0.6191166561665319,0.012833449,0.01814825751944444,0.05581671
3300067053_621,3300067053_621__dereplicated_genomes,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanoperedenaceae;g__Methanoperedens;s__,-,-,-,-,-,-,-,-,-,ANI,-,"GCA_905339155.1, s__Methanoperedens sp...",86.25,0.93049,-,d__Archaea,p__Halobacteriota,c__Methanosarcinia,o__Methanosarcinales,f__Methanoperedenaceae,g__Methanoperedens,s__,3300067053_621__dereplicated_genomes,p__Euryarchaeota,95,228,153,16,208,4,0,0,0,91.5,1.96,11,0.023338294857371666,0,2632243,33862,9717,8329.882911392406,316,316,3146,33862,0.4021034532146158,9717,0.8599346640868644,8329.882911392406,2.632243,0.7207786941910217,0.9605180220828018,0.08664600161118956,0.1134082222923215,0.06118462933543707,0.08700007094872779,0.3161043118774398,0.011044064,0.021051212483333335,0.0926976
3300067053_820,3300067053_820__dereplicated_genomes,d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__;f__;g__;s__,-,-,-,-,-,-,-,-,-,taxonomic novelty determined using RED,classification based on placement in class-level tree,-,79.07,0.56706,-,d__Bacteria,p__Methylomirabilota,c__Methylomirabilia,o__,f__,g__,s__,3300067053_820__dereplicated_genomes,k__Bacteria,2258,188,117,31,153,4,0,0,0,78.37,2.56,11,0.02462894805398448,0,1751759,37723,11174,8672.074257425742,202,202,1787,37723,0.5591671000405878,11174,0.9042316894047641,8672.074257425742,1.751759,0.8053881070152528,0.9605180220828018,0.02502271310472843,0.044623838370099034,0.03756388794434488,0.057011858298509244,0.3512068643713498,0.00825773625,0.007831789547222223,0.017454008
