IDs,TOP2,TOP3,TOP4,MID2,MID3,MID4,BTM2,BTM3,BTM4,Gene_Product,Ortholog_ID,percent_id,taxonomy,
Ga0562388_01005694_945_1712,91665100,41142900,33404300,0,259123132,137421300,155442200,86645541,193801000,methyl-coenzyme M reductase gamma subunit,KO:K00402,85.1,Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanotrichaceae;Methanothrix;Methanothrix soehngenii;Methanothrix soehngenii GP-6,
Ga0562388_21345194_3_587,45586240,169541400,18895253,119235000,87809010,198754730,284964,84207067,117271340,predicted porin,COG3203,43.94,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Zoogloea;Zoogloea sp. LCSB751;Zoogloea schifflangensis LCSB751,
Ga0562388_00125233_579_2087,17305790,87570966,58620130,183397400,50571600,224085050,60802180,122544850,139577100,hypothetical protein,Hypo-rule applied,51.08,Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Xanthobacteraceae;Pseudolabrys;Pseudolabrys taiwanensis;Pseudolabrys taiwanensis CC-BB4,
Ga0562388_04854805_3_887,84924200,0,0,437541000,139188000,198157000,0,21542500,108250000,methylenetetrahydrofolate dehydrogenase (NADP+)/methenyltetrahydrofolate cyclohydrolase/formyltetrahydrofolate synthetase,KO:K00288,78.28,Bacteria;Firmicutes;Clostridia;Eubacteriales;Desulfallaceae;Desulfoscipio;Desulfoscipio geothermicus;Desulfallas geothermicus DSM 3669,
Ga0562388_00030271_7436_8605,52039860,29090613,82037720,122013592,131932190,149660738,83494900,23522243,350232569,predicted porin,COG3203,33.67,Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Halothiobacillaceae;Halothiobacillus;Halothiobacillus sp. LS2;Halothiobacillus sp. LS2,
Ga0562388_04912685_48_1184,86054720,81798700,530013,319710650,75116160,4106208,130875000,54307.3,247364181,methyl-coenzyme M reductase beta subunit,KO:K00401,94.71,Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanotrichaceae;Methanothrix;Methanothrix soehngenii;Methanothrix soehngenii GP-6,
Ga0562388_00096312_2875_5028,77020220,189566960,135427120,131344420,26137683,24158600,47755150,46685100,120016105,S-layer protein (TIGR01567 family),TIGR01567,63.04,Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanotrichaceae;Methanothrix;Methanothrix soehngenii;Methanothrix soehngenii GP-6,
Ga0562388_00036238_3_2753,17875300,158210758,40128600,76970200,65268400,88635770,75545420,80539500,111792850,PGF-CTERM protein,TIGR04126,55.81,Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanoregula;Methanoregula formicica;Methanoregula formicica SMSP- DSM 22288,
Ga0562388_00057763_6145_7317,53469813,40197555,71710854,89800389,224720910,72158272,104103323,39132782.7,16001000,predicted porin,COG3203,38.87,Bacteria;Proteobacteria;Gammaproteobacteria;Acidiferrobacterales;Acidiferrobacteraceae;Sulfurifustis;Sulfurifustis variabilis;Sulfurifustis variabilis skN76,
Ga0562388_00714805_1537_2811,0,13536800,105822700,788190,80586240,299361740,114815950,37935200,66557800,hypothetical protein,Hypo-rule applied,28.44,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfobacter;Desulfobacter curvatus;Desulfobacter curvatus DSM 3379,
Ga0562388_00095478_6574_7716,39809014,66181053,69009057,87041400,82049300,149252452,16439640,750003,20832500,predicted porin,COG3203,70.08,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Thiobacillaceae;Thiobacillus;Thiobacillus thioparus;Thiobacillus thioparus DSM 505,
Ga0562388_04191845_58_1146,72156200,9449870,51770402,0,199363561.8,59380544,85161577,65857827,81399284,hypothetical protein,Hypo-rule applied,NA,NA,
Ga0562388_00653924_1674_3125,65459530,33186810,14625100,532047900,52566660,63090386,189176190,74350705,157364300,hypothetical protein,Hypo-rule applied,60.08,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Rhodopila;unclassified Rhodopila;Rhodopila sp. LVNP,
Ga0562388_01355585_715_2097,65384300,6855677,3615480,159381600,59888470,91739820,80192555,24904343,83513000,hypothetical protein,Hypo-rule applied,47.55,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfofaba;Desulfofaba hansenii;Desulfofaba hansenii DSM 12642,
Ga0562388_00018610_11274_14024,32243610,37971239,68571041,111353590,165785170,145213250,64270529,32110863,54598887,iron complex outermembrane receptor protein,KO:K02014,42.45,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;unclassified Burkholderiales;Rhizobacter;Rhizobacter sp. Root16D2;Rhizobacter sp. Root16D2,
Ga0562388_02125072_150_1397,0,14056850,60180936,107776010,38471500,90927600,154250100,38755460,137856600,methane/ammonia monooxygenase subunit B,KO:K10945,90.6,Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methyloterricola;Methyloterricola oryzae;Methyloterricola oryzae 73a,
Ga0562388_08309153_1_918,191018200,2630230,89533690,7133150,24155125,112930800,27896420,58690400,130780836,predicted porin,COG3203,25.16,Bacteria;Proteobacteria;Betaproteobacteria;unclassified Betaproteobacteria;unclassified Betaproteobacteria;Chitinivorax;Chitinivorax tropicus;Chitinivorax tropicus DSM 27165,
Ga0562388_01075568_6_1121,22573877,87300498,55975470,290749844,91830900,58671216,84037510,911298,34188820,predicted porin,COG3203,45.08,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Curvibacter;Curvibacter delicatus;Curvibacter delicatus NBRC 14919,
Ga0562388_00574176_1309_2409,71324030,57963060,24112700,195302440,79804314,27003617,77501956,26198596,49264714,predicted porin,COG3203,40.16,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Sulfuricellaceae;Sulfuricella;Sulfuricella denitrificans;Sulfuricella denitrificans skB26,
Ga0562388_01265828_1452_2306,58671000,55301263,68343300,25728300,6045620,51544830,10947700,101607000,81171700,predicted porin,COG3203,70.85,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;Methylotenera;Methylotenera sp. N17;Methylotenera sp. N17,
Ga0562388_05628614_15_1106,3129868,5278870,55167050,31162830,91830630,57686360,108052480,56616159,30538370,S-layer protein (TIGR01567 family),TIGR01567,54.95,Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanotrichaceae;Methanothrix;Methanothrix soehngenii;Methanothrix soehngenii GP-6,
Ga0562388_07503548_3_962,14944946,3888900,4406610,54054050,161292189,151008810,12308350,217578992,90926723.4,methyl-coenzyme M reductase beta subunit,KO:K00401,79.69,Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanotrichaceae;Methanothrix;Methanothrix soehngenii;Methanothrix soehngenii GP-6,
Ga0562388_01585820_439_1980,8454350,5824400,85242600,186022830,144454000,0,53981400,21068700,100522170,hypothetical protein,Hypo-rule applied,87.16,Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Bradyrhizobiaceae;Bradyrhizobium;Bradyrhizobium sp. OAE819;Bradyrhizobium sp. OAE819,
Ga0562388_00038033_11897_12709,1246390,30125330,99146000,43844940,89972100,172479890,112760590,8833720,53797190,predicted porin,COG3203,46.13,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;unclassified Burkholderiales;Rhizobacter;Rhizobacter sp. SG703;Rhizobacter sp. SG703,
Ga0562388_08383951_125_913,76688000,91869980,35432100,292276940,91217983,52198400,2319990,0,43955533,predicted porin,COG3203,44.77,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Thiobacillaceae;Sulfuritortus;Sulfuritortus calidifontis;Sulfuritortus calidifontis DSM 103923,
Ga0562388_00137714_3_2948,15893360,24212920,0,52026800,70166250,57596700,35897480,59224050,66764580,hypothetical protein,Hypo-rule applied,43.91,Bacteria;Candidatus Aminicenantes;unclassified Candidatus Aminicenantes;unclassified Candidatus Aminicenantes;unclassified Candidatus Aminicenantes;unclassified Candidatus Aminicenantes;Aminicenantes bacterium SCGC AAA252-D06;Aminicenantes bacterium SCGC AAA252-D06 (contamination screened),
Ga0562388_00882449_201_1418,6799418,43146850,22811042,65223540,51289371,129610010,49098066.2,58343649,100865120,hypothetical protein,Hypo-rule applied,31.45,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfobacter;Desulfobacter postgatei;Desulfobacter postgatei 2ac9,
Ga0562388_01364893_1_1287,2511850,118077900,151355490,47795240,29839920,128804540,56881340,33981320,13023230,hypothetical protein,Hypo-rule applied,32.85,Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Erythrobacter;Erythrobacter neustonensis;Erythrobacter neustonensis DSM 9434,
Ga0562388_00043459_4086_5927,4799410,35295480,7457040,51248400,119258200,86661400,46888410,53318104,46045420,PQQ-dependent dehydrogenase (methanol/ethanol family),TIGR03075,55.24,Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Methylocella;Methylocella tundrae;Methylocella tundrae ERS3224381,
Ga0562388_06151787_1_261,46085450,42802800,8016620,69694700,51251900,68072400,0,17345500,68407300,histone H4,KO:K11254,98.84,Eukaryota;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Chlorella;Chlorella variabilis;Chlorella variabilis NC64A,
Ga0562388_01570977_1325_2071,1964260,45424180,71601100,19122460,46458720,136627560,163407780,20198900,29709867,hypothetical protein,Hypo-rule applied,60.24,Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanotrichaceae;Methanothrix;Methanothrix thermoacetophila;Methanothrix thermoacetophila PT,
Ga0562388_00227918_1028_2224,13896318,99009450,54855821,38750940,156200570,45218590,64358527,6554319,35529295,predicted porin,COG3203,34.23,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;Rhodoferax sp. YR267;Rhodoferax sp. YR267,
Ga0562388_03092103_3_500,0,44283810,1159770,364456000,144885470,180244000,0,0,266310300,methyl-coenzyme M reductase beta subunit,KO:K00401,80.72,Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanotrichaceae;Methanothrix;Methanothrix soehngenii;Methanothrix soehngenii GP-6,
Ga0562388_00153992_2377_3696,43590800,35547930,34779700,408110,85242180,132129020,99811020,115477965,34588100,methane/ammonia monooxygenase subunit B,KO:K10945,95.47,Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Methylocystaceae;Methylocystis;Methylocystis parvus;Methylocystis parvus OBBP,
Ga0562388_00270158_1_2751,33095350,10670634,13631340,60666780,42005220,38850020,42496908,43697105,58588670,PGF-CTERM protein,TIGR04126,55.22,Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanoregula;Methanoregula formicica;Methanoregula formicica SMSP- DSM 22288,
Ga0562388_00635124_1415_2659,34117043,40933440,4286363,225410040,39917980,54834213,19921584,51082979,73112583,hypothetical protein,Hypo-rule applied,42.18,Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;Legionella cherrii;Legionella cherrii ORW,
Ga0562388_08677863_1_897,40931900,1365920,48429100,0,54037400,0,2360470,47884300,43671700,methyl-coenzyme M reductase alpha subunit,KO:K00399,91.64,Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanoregula;Methanoregula formicica;Methanoregula formicica SMSP- DSM 22288,
Ga0562388_18980061_2_622,40501550,2824950,21959900,0,79807200,66636783,59617830,5690717,59550300,hypothetical protein,Hypo-rule applied,52.2,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfatirhabdium;Desulfatirhabdium butyrativorans;Desulfatirhabdium butyrativorans DSM 18734,
Ga0562388_00005661_20734_22362,16237900,42666500,39956800,151731500,49717300,0,77244500,40478900,0,chaperonin GroEL,KO:K04077,75.93,Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;Deferribacteraceae;Deferribacter;Deferribacter desulfuricans;Deferribacter desulfuricans SSM1,
Ga0562388_00000230_57136_58437,36419716,99053899,35295474,153385430,100413730,119581240,7666100,40478660,5517740,long-chain fatty acid transport protein,KO:K06076,71.07,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Thiobacillaceae;Annwoodia;Annwoodia aquaesulis;Annwoodia aquaesulis DSM 4255,
Ga0562388_00512683_1538_2608,63874340,63617230,10126010,169634873,21854283,13696300,30872050,39833480,52071173,predicted porin,COG3203,40.15,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Sulfuricellaceae;Sulfuricella;Sulfuricella denitrificans;Sulfuricella denitrificans skB26,
Ga0562388_02262637_186_1301,4354780,22100993,37330205,11181250,72573060,64728500,56470930,45487112,15997274,predicted porin,COG3203,44.96,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Curvibacter;Curvibacter delicatus;Curvibacter delicatus NBRC 14919,
Ga0562388_00573133_1311_2735,20473612,33823629,95563260,2815680,126580100,46054860,62862318,37108124,24884600,hypothetical protein,Hypo-rule applied,27.35,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Marinobacter;Marinobacter nauticus;Marinobacter aquaeolei VT8,
Ga0562388_00049465_5126_7141,5642760,60921530,55275100,70968270,46292730,426650,36686243,4959800,29286960,hypothetical protein,Hypo-rule applied,50.59,Bacteria;Acidobacteria;Acidobacteriia;Bryobacterales;Solibacteraceae;Candidatus Solibacter;Candidatus Solibacter usitatus;Candidatus Solibacter usitatus Ellin6076,
Ga0562388_10458986_1_822,8280789,15907515,43314020,98121540,102506130,99960250,36098620,243094,12590420,predicted porin,COG3203,37.73,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Sulfuricellaceae;Sulfuriferula;Sulfuriferula thiophila;Sulfuriferula thiophila mst6,
Ga0562388_07966520_2_745,24923600,7420700,9271420,142794470,68457840,35723580,78668130,8573560,65543940,hypothetical protein,Hypo-rule applied,37.09,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Rhodopila;unclassified Rhodopila;Rhodopila sp. LVNP,
Ga0562388_00014259_6122_7351,0,56213430,1218560,11932550,49667530,39324790,2588510,35522800,53438100,sulfate adenylyltransferase,KO:K00958,92.42,Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophobacteraceae;Syntrophobacter;Syntrophobacter fumaroxidans;Syntrophobacter fumaroxidans MPOB,
Ga0562388_00322509_2008_3279,152217870,3052890,91522543,9504465,35250160,112681120,16896713,84073240,283027,hypothetical protein,Hypo-rule applied,29.29,Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Erythrobacter;Erythrobacter neustonensis;Erythrobacter neustonensis DSM 9434,
Ga0562388_00522558_78_2858,4864920,22530140,40518160,18341802,131265190,85534970,34527930,35186840,13401250,iron complex outermembrane receptor protein,KO:K02014,43.73,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;unclassified Comamonadaceae;Comamonadaceae bacterium URHA0028;Comamonadaceae bacterium URHA0028,
Ga0562388_00232952_2429_3736,27407280,4775220,34505110,47660890,50245500,37147310,27202040,34407320,11774870,hypothetical protein,Hypo-rule applied,NA,NA,
Ga0562388_00196415_702_2381,20051017,68277380,232973.9,213612110,33444318,2977935,62680714,1542542,41095630,2-aminobenzoate-CoA ligase,KO:K08295,86.58,Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophaceae;Desulfobacca;Desulfobacca acetoxidans;Desulfobacca acetoxidans ASRB2- DSM 11109,
Ga0562388_04069422_30_1298,45793020,56386270,32713200,14660739,173075300,93620310,5435020,0,8754510,long-chain fatty acid transport protein,KO:K06076,61.36,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Sulfuricellaceae;Sulfuricella;Sulfuricella denitrificans;Sulfuricella denitrificans skB26,
Ga0562388_00206011_2_835,32453000,89402520,0,389328300,8269640,0,91496100,4556340,82032400,methyl-coenzyme M reductase beta subunit,KO:K00401,89.57,Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanotrichaceae;Methanothrix;Methanothrix soehngenii;Methanothrix soehngenii GP-6,
Ga0562388_00272185_1657_4929,62563710,14064990,38768951,21224600,82674840,36908530,18920230,8312080,32063223,hypothetical protein,Hypo-rule applied,NA,NA,
Ga0562388_03547295_190_651,31962000,0,31884630,0,46208300,0,1394650,42537900,35614000,adenylylsulfate reductase subunit B,KO:K00395,86.93,Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophobacteraceae;Desulfoglaeba;Desulfoglaeba alkanexedens;Desulfoglaeba alkanexedens ALDC,
Ga0562388_00001078_22036_23049,5907240,24241600,20596460,187420300,116418300,71867000,55448100,6578710,31772400,predicted porin,COG3203,49.54,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Gallionellaceae;Sideroxydans;Sideroxydans lithotrophicus;Sideroxydans lithotrophicus ES-1,
Ga0562388_03614420_71_1249,18576980,75167910,97246830,169759970,7008030,79383410,31121960,7020350,27763450,hypothetical protein,Hypo-rule applied,35.61,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfobacter;Desulfobacter postgatei;Desulfobacter postgatei 2ac9,
Ga0562388_00281763_2578_3696,20784360,30970520,56252220,94520390,13006800,43020430,48478157,1702740,30380505,predicted porin,COG3203,72.65,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Thiobacillaceae;Thiobacillus;Thiobacillus thioparus;Thiobacillus thioparus DSM 505,
Ga0562388_01947588_800_1864,6260824,30810200,26125730,40014835,64787630,85780680,27888189,21113010,46875434,GBP family porin,KO:K03285,30.05,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Thiobacillaceae;Thiobacillus;Thiobacillus denitrificans;Thiobacillus denitrificans ATCC 25259,
Ga0562388_01005003_339_1394,30698680,74205730,14098700,264160200,23704860,30845760,15405920,17597850,44552450,predicted porin,COG3203,44.96,Bacteria;Proteobacteria;Betaproteobacteria;unclassified Betaproteobacteria;unclassified Betaproteobacteria;unclassified Betaproteobacteria;Betaproteobacteria bacterium GR16-43;Betaproteobacteria bacterium GR16-43,
Ga0562388_00163771_2671_6003,4626270,15334649,23325870,30661860,46559320,55623810,14373128,35410155,41685340,outer membrane receptor protein involved in Fe transport,COG1629,24.9,Bacteria;Bacteroidetes;unclassified Bacteroidetes;Bacteroidetes Order II. Incertae sedis;Rhodothermaceae;unclassified Rhodothermaceae;Rhodothermaceae bacterium RA;Halothermobacillus malaysiensis RA,
Ga0562388_00001222_22766_24169,17584900,12010140,0,27307220,30582760,156416460,37850700,157660843,155001000,methanol--5-hydroxybenzimidazolylcobamide Co-methyltransferase,KO:K04480,80.73,Archaea;Candidatus Thermoplasmatota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Methanomassiliicoccus luminyensis;Methanomassiliicoccus luminyensis B10,
Ga0562388_05555886_94_1113,2200040,24452598,24862890,30292200,35647900,73672220,34784480,15094600,42552580,predicted porin,COG3203,37.28,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus;Cupriavidus sp. GA3-3;Cupriavidus sp. GA3-3,
Ga0562388_00106654_3353_4507,29882900,5871300,34779700,0,18580300,28431320,49925290,98094610,35561230,OOP family OmpA-OmpF porin,KO:K03286,63.35,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Rhodopila;Rhodopila globiformis;Rhodopila globiformis DSM 161,
Ga0562388_17613287_3_644,85292900,1844120,25167530,372718760,29697020,15181815,165535575,0,41385900,methyl-coenzyme M reductase beta subunit,KO:K00401,91.12,Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanotrichaceae;Methanothrix;Methanothrix soehngenii;Methanothrix soehngenii GP-6,
Ga0562388_00001222_24182_24967,4946364,35709280,29107110,26850660,11758928,79349490,64089090,15308663,113316300,methanol corrinoid protein,KO:K14081,73.46,Archaea;Candidatus Thermoplasmatota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Methanomassiliicoccus luminyensis;Methanomassiliicoccus luminyensis B10,
Ga0562388_29852408_304_504,0,0,52642060,21531800,35297580,37788700,28368970,4745240,32116300,OOP family OmpA-OmpF porin,KO:K03286,67.16,Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methylomonas;Methylomonas lenta;Methylomonas lenta R-45370,
Ga0562388_02327078_3_1706,7007540,131894000,5839210,433183600,28310230,5674120,105928000,2178330,114017000,adenylylsulfate reductase subunit A,KO:K00394,61.62,Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Archaeoglobus;Archaeoglobus sulfaticallidus;Archaeoglobus sulfaticallidus PM70-1- DSM 19444,
Ga0562388_00217261_1_1290,71556390,25227746,15823442,0,69611000,0,27391400,41056210,35920700,hypothetical protein,Hypo-rule applied,32.1,Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Erythrobacter;Erythrobacter neustonensis;Erythrobacter neustonensis DSM 9434,
Ga0562388_04359758_39_1253,21451626,11202270,33811900,258518820,27993894,25201800,27336960,3736000,67922123,hypothetical protein,Hypo-rule applied,NA,NA,
Ga0562388_00063915_3184_4314,27124380,23755380,50485510,11858870,136305516,25806517,57118500,20555493,56451090,predicted porin,COG3203,26.93,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Rugosibacter;Rugosibacter aromaticivorans;Rugosibacter aromaticivorans PG1-Ca6,
Ga0562388_11606024_1_783,41602800,0,10885600,89107000,84280600,27053900,7870490,32155700,0,F-type H+-transporting ATPase subunit alpha,KO:K02111,85.06,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfatiglans;Desulfatiglans anilini;Desulfatiglans anilini DSM 4660,
